"","ten_two","ten_two_unexp","ten","ten_unexp","cpi","cpi_unexp","jobs","jobs_unexp"
"24",-0.185,-0.234688104987959,-0.00315845147635039,0.037875556884954,0.00849713025394647,-0.00538724563423656,-0.00701405681184605,-0.00128075813373906
"25",-0.245,0.125146435345626,-0.0188048826781681,-0.0269297876488394,0.0152193963633696,0.000676716891803061,-0.00544577055996915,-0.00459933469258161
"26",0.445,-0.00184146541974506,-0.060154639152382,-0.0369375974682101,0.0165293019512105,0.000314302675027363,-0.00730933420025781,-0.00607323129380699
"27",0.8,0.187509014192272,-0.203463993367764,-0.180101475002979,0.00306905611741797,-0.0130560080825029,-0.00578036291549943,0.0015967715428093
"28",0.99,-0.0497365078979237,-0.0126673052007656,0.0408945195760281,0.00102092913410714,-0.0055749049594406,0.00187245438940787,0.000797759842478251
"29",0.78,-0.247401785571031,0.00235793554190439,-0.0417200238667225,0.0111619626653704,0.00496233442586278,0.00772256465301085,0.001597075028565
"30",0.775,-0.0385233619669015,0.0900292710671531,0.107651978042757,0.0100402449852325,0.0005761248654215,0.0110377069618243,0.00397595775848474
"31",1,0.118259755870555,0.00600860176844867,-0.0407136065647085,0.00994043970525093,-0.000404731206020945,0.0129601621211676,0.00195087183690214
"32",1.03,-0.21781929228072,0.0261839283008369,0.0249823433877048,0.0137526725520371,-0.00115301629940654,0.0127459836623513,0.00187037174616751
"33",0.795,-0.311591606588417,0.0877405816680173,0.0679738028938593,0.0097088141269609,-0.00188406079532542,0.011587503742482,0.00238084723027283
"34",0.385,-0.26473562700366,-0.0119071888869207,-0.0300113014931604,0.00865806274311453,0.000201247034468489,0.00985719133586265,-0.00107871571744859
"35",0.94,0.488355743312418,-0.0896846110824591,-0.0532173573067563,0.00858374369139144,-0.00340717286380934,0.00838503575983649,-0.00112542663288823
"36",1.3,0.01743970805195,-0.0179109265665301,0.00173584849320487,0.00898138866459648,-0.00113230615001882,0.00768409274547159,0.000361291081610946
"37",1.405,0.224914982411832,-0.0736446874569946,-0.0816022360798453,0.00936775000360024,0.00127789352851399,0.00661314614490965,-0.00139590964786672
"38",1.465,-0.0963852431467197,-0.0430631948864876,-9.9491578996377e-05,0.00604231445596266,-0.00148995166433041,0.00613033453054297,-0.000978159406853781
"39",1.245,-0.0245813376660053,-0.0587525840705273,-0.0671050170266225,0.0101430099650548,0.00316763216420674,0.0058491617228098,-0.000309242823084788
"40",0.81,-0.545362872010715,-0.138967386323566,-0.131162380780891,0.00457666702741189,-0.00534140438477843,0.00419253816179443,-0.00126518094022387
"41",0.62,-0.102208251217457,-0.116752335425256,-0.083985776715404,-0.00411805660891737,-0.00867002608907106,0.00354510016772233,0.000198636544640895
"42",0.865,0.223393725149546,-0.0323042894992461,-0.0320205483389334,0.00639855930764255,0.00416508466956382,0.0052089474153561,0.00182444990889313
"43",0.995,0.194802504026739,-0.00548698221625931,-0.015474615932402,0.00681046900252688,0.000252603546938819,0.00611943775163598,0.000993632451665416
"44",0.84,-0.158237940650383,-0.0145482302652927,-0.019976081573305,0.0116960397631915,0.00749607695469949,0.00604258468768238,0.000854899088582761
"45",0.915,0.0655643796191492,0.148853051364756,0.134828168159334,0.0115608224010758,-0.00141493770559067,0.00767433174098188,0.00229228460057674
"46",1.045,0.0783119440073298,0.0719150359665002,0.00206691139585121,0.0101166466522393,0.00103440326984208,0.00730357524713189,0.000218673281372841
"47",1.145,0.073933655378502,0.0281397877562044,0.0425278610169547,0.00914839750069917,-0.00153902882057303,0.00927392211245173,0.00359904522636843
"48",1.065,-0.13430357520186,-0.0851336277597297,-0.0953141319504308,0.00820561719245239,-0.0010316414932074,0.00695345738748296,-0.00212841407564109
"49",1.01,0.0920933830544024,0.0536306081337593,0.0892344869082464,0.0115459909970607,0.00167699571612795,0.0086588906800241,0.00340977400507156
"50",0.65,-0.371050579280406,0.023856887344615,0.000253205178303028,0.0118344576470028,0.000990260232255989,0.00711085012632344,-0.00106844806413715
"51",0.235,-0.298557455396133,-0.018257768573565,0.0100450933700695,0.010865129869104,0.00279634680798864,0.00766593981544113,0.00195505106909511
"52",-0.205,-0.513825932206547,0.0297051544139157,0.0349738172500957,0.0115703770128482,0.00125604191667982,0.0074958876112806,-0.000228353536814514
"53",-0.2,0.168602807390627,-0.05515182007508,-0.0796935013760342,0.0154915450301088,0.005423440552055,0.00478862052295991,-0.00172767011295278
"54",0.055,0.0872337728779656,-0.0742842146638714,-0.0360277070996823,0.00845926494597654,-0.00535588844808003,0.00283633003640742,-0.00104565590104979
"55",0.05,0.00414342326996691,-0.0224588354242951,-0.0128873602858651,0.00958091161175783,0.000417394559862683,0.00412213901781603,0.00138995901302346
"56",0.04,-0.0857972774103362,0.0582093860859237,0.0533064911210346,0.0173300910642094,0.00590325135715143,0.00691495287920697,0.00150986271900556
"57",0.1,0.00814507218292386,0.0275920057493739,0.0120110994807319,0.010487569421266,-0.00256035314077481,0.00326200557965365,-0.00324293207385717
"58",0.56,0.352775788618017,0.00519781707361692,0.00474176077895529,0.016098469551019,0.00647882146724476,-0.000884024281658418,-0.00315925540929244
"59",0.805,0.00509837099580656,-0.0327898228229908,-0.0436839575518088,0.017339296076309,0.000575585615117977,-0.00379559098856824,-0.00318569987126983
"60",0.985,0.223574558874712,-0.0512932943875506,-0.0404935685211787,0.00707506209497839,-0.00555591269234837,-0.00414084963089613,-0.00145212734123537
"61",1.205,0.0695987420540405,0.0223057575142984,0.0397408076517789,0.00591936615556819,-0.00354849148681388,-0.0046565375726675,-0.00353022517518298
"62",1.41,0.203526618719263,-0.024815169119724,-0.0380394343702215,0.00771637119201499,-0.00101846498880385,0.000133872825632079,0.00162838638500087
"63",1.84,0.209181352398839,-0.0851857260946044,-0.0640511381867637,0.00802045859791946,0.000742399280289056,6.92375332329201e-05,-0.00294990974782881
"64",1.99,0.0413666151330338,-0.00342583411451897,0.0108141474260076,0.00723592158617684,-0.000721801034735212,0.000166150523525608,0.000325567983968155
"65",2.175,0.230246049862875,0.0116002665540771,-0.0111722759466371,0.00754178471442261,0.000105522375566809,0.00256720617563095,0.000165685778804617
"66",2.465,0.19943741510558,-0.105812902003474,-0.097603611169217,0.00748533168873356,-0.000881604514924098,0.00235400242954069,-0.00206296629565495
"67",2.305,-0.146987098477225,0.0149703394588655,0.0488066025551507,0.00848661387731873,0.0015363967764714,0.00404676090009597,0.00181126953782813
"68",2.12,-0.126337511307119,-0.0676140729442874,-0.112624762492752,0.00736716189485858,-0.00256698426739154,0.0055189288344515,0.000166331592575649
"69",1.965,-0.0922803007872622,-0.0472016014842941,-0.00449036466702035,0.00696624203441826,-0.00253586889771962,0.00547506635210372,-0.00103844546430081
"70",1.625,-0.185350916492855,-0.071675036706891,-0.0794010823506275,0.004847654922567,-0.00270891145204296,0.00653345126116373,0.00166371849360357
"71",1.51,0.0119228435574809,-0.00628650476282095,0.00408385007646797,0.00825598084701908,0.0030645908167841,0.00691514272606029,-0.0010680010119934
"72",1.545,0.097896148914816,0.0969468413807926,0.0844658962858183,0.00512558784881234,-0.00331898848417436,0.00792651159927344,0.000584104737811568
"73",1.295,-0.116753361029191,0.145822674390166,0.10992783073819,0.00577741624001245,0.000552857155751438,0.00885219016406209,0.00136163989701329
"74",1.115,-0.0118123373267741,0.038132869695444,0.00590918766888631,0.00877198607283704,0.00135484603109989,0.00888327664951378,-1.0947299083745e-05
"75",0.615,-0.458521637651733,0.0658132185695718,0.071977667542024,0.00602814953377325,-0.00135733490610762,0.00760990528509488,-0.000266364388624977
"76",0.345,0.00130857256101258,-0.0469447342651888,-0.0730113293344219,0.00731872860951138,0.000849869577658393,0.00762526945660499,0.00109320056377398
"77",0.47,0.086174290422792,-0.124228999962209,-0.0744412139581773,0.00825223366017721,-0.000423607268521814,0.0040534009097663,-0.00346776982225485
"78",0.45,0.0929513506136167,-0.041672696400568,0.000227236663702588,0.00491884907159626,-0.00239373889577292,0.00393928482345071,0.00102724246316498
"79",0.395,-0.00587042815615671,-0.0769610411361284,-0.081342503059603,0.00554560220770663,-0.000633870494192146,0.00459675390344247,-0.000338319949781819
"80",0.66,0.321937099945018,0.0143644210470357,0.0519759738435337,0.00906741963794297,0.0026444777915266,0.00399857817070092,-0.000853350257602145
"81",0.595,-0.173611794682895,0.118528469906332,0.0862824281318182,0.00834675792871735,0.000204784875625102,0.00684522857833348,0.00309159478518956
"82",0.605,0.090504691965282,0.00668402042857179,-0.036669619224349,0.00605579539920517,-0.0016204455857507,0.00630806367179306,-0.00127809725598014
"83",0.56,-0.200049891209879,-0.0594687394027923,-0.0394667270904231,0.00822789451878855,0.0011909506897351,0.00568975060273442,0.000727466906263438
"84",0.52,0.105373123544272,0.0294138852062932,0.0292621856666585,0.0059701669865042,-0.00228200803420941,0.00641387194637957,0.00174087801543086
"85",0.42,-0.213022511611935,0.020385756924474,0.00208772596460966,0.0028155814001635,-0.0028701623487775,0.00708721929337166,0.000424969726876904
"86",0.345,-0.0305518319979043,-0.0672327302212626,-0.0435047754570805,0.00467509032899398,-0.00076427999616333,0.00645785337636514,0.000525585262671239
"87",0.175,-0.288332252600176,-0.0550446950229601,-0.031485254763185,0.00527214742657597,-0.000347222038756616,0.00728198259416091,0.00174839142000053
"88",0.135,0.0287941055468438,-0.0564631071320257,-0.0627229406794459,0.00216283106094202,-0.00239761399516115,0.00603407219756433,-0.00149338261876589
"89",0.03,-0.277698512823863,-0.00358102441770614,0.0152833795203251,0.00308166653740811,-0.000603345638583121,0.00610920271491025,0.0016204874749102
"90",0.07,0.0774353770653281,-0.082212473965661,-0.0897896508655087,0.00521713627728691,0.000380912378646319,0.0057322195022887,-0.000674369287933584
"91",0.29,0.0538081338573685,-0.0927817334509662,-0.0676627513213678,0.00488550590052261,-0.000157788950350593,0.00627714810628238,0.000579193247850476
"92",0.14,-0.200329496780935,0.0611272606810007,0.0627887982984305,0.00364852943501498,-0.00190062490113055,0.00546866875502802,-0.000337567254408588
"93",0.245,0.0775926055882615,0.107569130148636,0.0655935765327899,0.00725736478336697,0.00167329299885124,0.00677464522754749,0.00192701830937037
"94",0.25,-0.182385514046218,0.0570079813462463,0.0441300650891455,0.00780316084235425,0.000647947621080957,0.00578431031804911,-0.0012284133196188
"95",0.21,-0.00325755741978918,0.0482622775309781,0.0359419776197326,0.00714927084422389,0.000678798125092771,0.00678234582920555,0.00222143421598669
"96",-0.025,-0.43115993172076,0.0483645581580937,0.0265602703032816,0.0100414310943529,0.00199629088508321,0.00629123882872683,-0.000632556968671387
"97",-0.39,-0.276424825002496,-0.038663592831836,-0.0358002306603874,0.00819436835754398,-0.00120623217683494,0.00531301035416315,-4.28709983104377e-05
"98",-0.34,-0.0699680556176115,-0.0477850379414795,-0.0107527851035303,0.00928350154397195,0.00230779099398779,0.00226623204602985,-0.00247111503876727
"99",-0.14,0.083608441716081,-0.0762524314997556,-0.0662837345321978,0.00633277879220247,-0.00308367561550069,0.00180099613156922,-0.000102673083579387
"100",0.475,0.455368836881064,-0.0885028015762998,-0.0607044965332367,0.00914030927935806,0.00296150927206377,0.00147763966453449,-0.00157597811128926
"101",1.055,0.320277423718631,0.0466556916407992,0.0672527216003143,0.00680081963792134,-0.00244836602079207,-0.00268172009460917,-0.00473095709125194
"102",1.405,0.288423542919869,-0.054647742172137,-0.0915792775345118,0.00394589012543739,-0.00156752433063521,-0.00298057176768945,-0.00134613745276865
"103",1.91,0.276710769583336,-0.0315869357493204,0.0029356686465878,-0.00140745976787972,-0.00749573043853889,-0.00575168361202553,-0.00541433023832203
"104",1.865,-0.196425087303254,0.0534131990102069,0.0304011030426867,0.00337458138014534,0.0025308970567419,-0.00339661276231768,0.000699165877798205
"105",1.865,0.0360927698946367,-0.00491884907159638,-0.031920038935864,0.00755142729800028,0.00312329428458521,-0.00102123762210431,-0.00132968401731778
"106",2,0.0132411879587526,-0.174071657321813,-0.15034882179068,0.00527999003490704,-0.000992366070818618,-0.000712040792503365,-0.0024223121455583
"107",2.11,0.212738562765454,-0.064225581063041,-0.0189455367760452,0.00607904607638219,-0.000432665957563987,0.000145511915002091,-5.54628101956715e-05
